Pclass,Age,SibSp,Parch,Fare,Title,sp,cabine_n,IsAlone,Sex_female,Sex_male
1,25.0,0,0,9.5,1,0,0,1,0,1
1,27.118876894284462,0,0,56.4958,1,0,0,1,0,1
1,39.0,0,1,13.4167,1,1,0,0,0,1
3,38.45065951769089,0,0,26.55,1,0,0,1,0,1
1,41.0,0,0,7.85,1,0,0,1,0,1
2,30.0,0,0,13.0,5,0,0,1,1,0
3,45.0,1,0,52.5542,5,1,0,0,1,0
1,25.0,0,0,7.925,1,0,0,1,0,1
3,45.0,0,0,29.7,1,0,0,1,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
3,60.0,0,0,76.2917,5,0,0,1,1,0
1,36.0,0,2,15.9,5,2,0,0,1,0
3,24.0,1,0,60.0,1,1,0,0,0,1
2,27.0,0,0,15.0333,1,0,0,1,0,1
2,20.0,2,1,23.0,4,3,1,0,1,0
3,28.0,3,2,263.0,4,5,0,0,1,0
2,32.264915146169876,0,0,15.5792,1,0,1,1,0,1
1,10.0,4,1,29.125,3,5,1,0,0,1
1,35.0,0,0,7.8958,1,0,0,1,0,1
1,25.0,0,0,7.65,1,0,0,1,0,1
1,25.12672064309088,1,0,16.1,1,1,0,0,0,1
3,36.0,0,0,262.375,4,0,0,1,1,0
1,17.0,0,0,7.8958,1,0,0,1,0,1
2,32.0,0,0,13.5,1,0,1,1,0,1
1,18.0,0,0,7.75,1,0,1,1,0,1
1,22.0,0,0,7.725,4,0,0,1,1,0
3,13.0,2,2,262.375,3,4,0,0,0,1
2,29.170002333801634,0,0,21.0,5,0,0,1,1,0
1,18.0,0,0,7.8792,4,0,1,1,1,0
3,47.0,0,0,42.4,1,0,0,1,0,1
3,31.0,0,0,28.5375,1,0,0,1,0,1
3,60.0,1,4,263.0,5,5,0,0,1,0
1,24.0,0,0,7.75,4,0,0,1,1,0
1,21.0,0,0,7.8958,1,0,0,1,0,1
1,29.0,0,0,7.925,4,0,0,1,1,0
3,28.5,0,0,27.7208,1,0,0,1,0,1
3,35.0,0,0,211.5,4,0,0,1,1,0
3,32.5,0,0,211.5,1,0,1,1,0,1
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
3,55.0,2,0,25.7,5,2,0,0,1,0
2,30.0,0,0,13.0,1,0,0,1,0,1
1,24.0,0,0,7.75,4,0,0,1,1,0
1,6.0,1,1,15.2458,3,2,0,0,0,1
3,67.0,1,0,221.7792,1,1,0,0,0,1
3,49.0,0,0,26.0,1,0,0,1,0,1
1,25.384332805096108,0,0,7.8958,1,0,0,1,0,1
2,31.684988734985545,0,0,10.7083,1,0,0,1,0,1
1,25.06798169942861,1,0,14.4542,1,1,0,0,0,1
1,27.0,0,0,7.8792,4,0,0,1,1,0
1,18.0,0,0,8.05,4,0,0,1,1,0
1,28.56187329287444,0,0,7.75,0,0,1,1,1,0
2,2.0,1,1,23.0,3,2,0,0,0,1
1,22.0,1,0,13.9,5,1,0,0,1,0
1,25.380021428018456,0,0,7.775,1,0,0,1,0,1
3,27.0,1,2,52.0,5,3,1,0,1,0
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
3,25.0,0,0,26.0,1,0,0,1,0,1
1,25.0,0,0,7.7958,1,0,0,1,0,1
3,76.0,1,0,78.85,5,1,1,0,1,0
1,29.0,0,0,7.925,1,0,1,1,0,1
1,20.0,0,0,7.8542,4,0,0,1,1,0
1,33.0,0,0,8.05,1,0,0,1,0,1
3,43.0,1,0,55.4417,5,1,0,0,1,0
2,27.0,1,0,26.0,1,1,0,0,0,1
1,25.78521215183124,0,0,7.75,1,0,1,1,0,1
1,26.0,0,0,7.775,1,0,0,1,0,1
1,16.0,1,1,8.5167,5,2,0,0,1,0
1,28.0,0,0,22.525,1,0,0,1,0,1
1,21.0,0,0,7.8208,1,0,0,1,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
1,25.413480997640143,0,0,8.7125,1,0,0,1,0,1
2,18.5,0,0,13.0,1,0,0,1,0,1
2,41.0,0,0,15.0458,1,0,1,1,0,1
1,23.629664106535415,0,0,7.7792,4,0,0,1,1,0
3,36.0,0,0,31.6792,4,0,0,1,1,0
1,18.5,0,0,7.2833,4,0,0,1,1,0
3,63.0,1,0,221.7792,5,1,0,0,1,0
1,18.0,1,0,14.4542,1,1,0,0,0,1
1,25.33228577535818,0,0,6.4375,1,0,0,1,0,1
1,1.0,1,1,16.7,4,2,0,0,1,0
3,36.0,0,0,75.2417,1,0,1,1,0,1
2,29.0,1,0,26.0,5,1,0,0,1,0
2,12.0,0,0,15.75,4,0,0,1,1,0
1,24.82870740966037,1,0,7.75,1,1,0,0,0,1
3,35.0,1,0,57.75,5,1,0,0,1,0
1,28.0,0,0,7.25,1,0,1,1,0,1
1,25.78521215183124,0,0,7.75,1,0,1,1,0,1
1,17.0,0,1,16.1,4,1,0,0,1,0
1,22.0,0,0,7.7958,1,0,0,1,0,1
1,22.160458249582966,2,0,23.25,4,2,0,0,1,0
2,42.0,0,0,13.0,1,0,1,1,0,1
1,24.0,0,0,8.05,1,0,0,1,0,1
1,32.0,0,0,8.05,1,0,0,1,0,1
3,53.0,0,0,28.5,0,0,0,1,0,1
1,19.93933599473491,0,4,25.4667,5,4,0,0,1,0
1,24.781864012190006,1,0,6.4375,1,1,0,0,0,1
1,43.0,0,0,7.8958,1,0,0,1,0,1
1,24.0,0,0,7.8542,1,0,0,1,0,1
1,26.5,0,0,7.225,1,0,1,1,0,1
2,26.0,0,0,13.0,1,0,1,1,0,1
1,23.0,0,0,8.05,4,0,0,1,1,0
1,40.0,1,6,46.9,1,7,1,0,0,1
1,10.0,5,2,46.9,4,7,0,0,1,0
3,33.0,0,0,151.55,4,0,0,1,1,0
3,61.0,1,3,262.375,1,4,0,0,0,1
2,28.0,0,0,26.0,1,0,0,1,0,1
3,42.0,0,0,26.55,1,0,0,1,0,1
1,31.0,3,0,18.0,1,3,0,0,0,1
3,39.35406789747649,0,0,51.8625,1,0,0,1,0,1
1,22.0,0,0,8.05,1,0,0,1,0,1
3,38.856742496693585,0,0,26.55,1,0,1,1,0,1
2,30.0,1,1,26.0,0,2,0,0,0,1
3,23.0,0,1,83.1583,5,1,0,0,1,0
1,25.7904157840988,0,0,7.8958,1,0,1,1,0,1
1,60.5,0,0,17.490638196325868,1,0,0,1,0,1
1,36.0,0,2,12.1833,5,2,0,0,1,0
1,13.0,4,2,31.3875,3,6,0,0,0,1
1,24.0,0,0,7.55,1,0,0,1,0,1
3,29.0,0,0,221.7792,4,0,0,1,1,0
1,23.0,0,0,7.8542,4,0,0,1,1,0
3,42.0,0,0,26.55,1,0,0,1,0,1
1,26.0,0,2,13.775,5,2,0,0,1,0
1,23.628025926006735,0,0,7.7333,4,0,0,1,1,0
1,7.0,1,1,15.2458,3,2,0,0,0,1
2,26.0,0,0,13.5,4,0,0,1,1,0
1,25.352361517131193,0,0,7.0,1,0,0,1,0,1
2,41.0,0,0,13.0,0,0,0,1,0,1
1,26.0,1,1,22.025,5,2,0,0,1,0
3,48.0,0,0,50.4958,1,0,1,1,0,1
1,18.0,2,2,34.375,1,4,0,0,0,1
3,35.61014630204035,0,0,27.7208,5,0,0,1,1,0
1,22.0,0,0,8.9625,4,0,0,1,1,0
1,25.77807411031194,0,0,7.55,1,0,1,1,0,1
1,27.0,0,0,7.225,1,0,0,1,0,1
1,23.0,1,0,13.9,1,1,0,0,0,1
1,25.360541712712305,0,0,7.2292,1,0,0,1,0,1
1,40.0,1,5,31.3875,1,6,1,0,0,1
2,15.0,0,2,39.0,4,2,0,0,1,0
2,20.0,0,0,36.75,4,0,0,1,1,0
3,54.0,1,0,55.4417,1,1,1,0,0,1
2,36.0,0,3,39.0,5,3,0,0,1,0
3,64.0,0,2,83.1583,5,2,0,0,1,0
2,30.0,0,0,13.0,1,0,0,1,0,1
3,37.0,1,1,83.1583,1,2,0,0,0,1
3,18.0,1,0,53.1,5,1,0,0,1,0
1,25.78521215183124,0,0,7.75,1,0,1,1,0,1
3,27.0,1,1,247.5208,5,2,0,0,1,0
2,40.0,0,0,16.0,1,0,1,1,0,1
2,21.0,0,1,21.0,4,1,0,0,1,0
1,17.0,2,0,8.05,1,2,0,0,0,1
1,12.932111435186641,8,2,69.55,4,10,0,0,1,0
2,40.0,0,0,13.0,1,0,0,1,0,1
2,34.0,1,0,26.0,1,1,0,0,0,1
3,38.43102990351283,0,0,26.0,1,0,0,1,0,1
1,11.5,1,1,14.5,3,2,0,0,0,1
2,61.0,0,0,12.35,1,0,1,1,0,1
2,8.0,0,2,32.5,3,2,1,0,0,1
1,33.0,0,0,7.8542,1,0,1,1,0,1
3,6.0,0,2,134.5,3,2,0,0,0,1
1,18.0,0,0,7.775,4,0,0,1,1,0
2,23.0,0,0,10.5,1,0,0,1,0,1
1,22.509767562377778,0,0,8.1125,5,0,0,1,1,0
1,23.905221061346225,0,0,15.5,4,0,0,1,1,0
1,0.33,0,2,14.4,3,2,0,0,0,1
3,47.0,1,0,227.525,0,1,0,0,0,1
2,8.0,1,1,26.0,4,2,0,0,1,0
2,25.0,0,0,10.5,1,0,0,1,0,1
3,38.82789410189336,0,0,25.7417,1,0,1,1,0,1
1,35.0,0,0,7.75,4,0,0,1,1,0
2,24.0,0,0,10.5,1,0,0,1,0,1
3,33.0,0,0,27.7208,4,0,0,1,1,0
1,25.0,0,0,7.8958,1,0,1,1,0,1
1,32.0,0,0,22.525,1,0,0,1,0,1
1,25.354146027511018,0,0,7.05,1,0,0,1,0,1
2,17.0,0,0,73.5,1,0,0,1,0,1
2,60.0,1,0,26.0,5,1,0,0,1,0
1,38.0,4,2,7.775,4,6,0,0,1,0
3,42.0,0,0,42.5,1,0,1,1,0,1
1,23.63323312729506,0,0,7.8792,4,0,0,1,1,0
3,57.0,1,1,164.8667,1,2,0,0,0,1
3,50.0,1,1,211.5,5,2,1,0,1,0
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
2,30.0,1,0,13.8583,4,1,0,0,1,0
1,21.0,0,0,8.05,1,0,0,1,0,1
2,22.0,0,0,10.5,5,0,0,1,1,0
1,21.0,0,0,7.7958,1,0,0,1,0,1
3,53.0,0,0,27.4458,5,0,1,1,1,0
1,21.62971243321869,0,2,15.2458,5,2,0,0,1,0
1,23.0,0,0,7.7958,1,0,0,1,0,1
1,23.628621952473598,0,0,7.75,4,0,0,1,1,0
1,40.5,0,0,15.1,1,0,0,1,0,1
2,36.0,0,0,13.0,1,0,0,1,0,1
2,14.0,0,0,65.0,1,0,1,1,0,1
3,21.0,0,0,26.55,4,0,0,1,1,0
1,21.0,1,0,6.4958,1,1,0,0,0,1
1,25.383740347650008,0,0,7.8792,1,0,0,1,0,1
3,39.0,1,0,71.2833,1,1,0,0,0,1
1,20.0,0,0,7.8542,1,0,0,1,0,1
3,64.0,1,0,75.25,1,1,0,0,0,1
1,20.0,0,0,7.225,1,0,0,1,0,1
2,18.0,1,1,13.0,4,2,0,0,1,0
3,48.0,1,0,106.425,5,1,0,0,1,0
3,55.0,0,0,27.7208,5,0,0,1,1,0
2,45.0,0,2,30.0,5,2,0,0,1,0
3,45.0,1,1,134.5,1,2,0,0,0,1
1,25.38403657637306,0,0,7.8875,1,0,0,1,0,1
1,21.070297006919326,1,2,23.45,3,3,0,0,0,1
3,41.0,1,0,51.8625,1,1,1,0,0,1
2,22.0,0,0,21.0,5,0,0,1,1,0
2,42.0,1,1,32.5,1,2,0,0,0,1
2,29.0,1,0,26.0,5,1,1,0,1,0
1,22.18568238872413,1,0,14.4542,5,1,0,0,1,0
2,0.92,1,2,27.75,4,3,0,0,1,0
1,20.0,0,0,7.925,1,0,1,1,0,1
3,27.0,1,0,136.7792,1,1,1,0,0,1
1,24.0,0,0,9.325,1,0,0,1,0,1
1,32.5,0,0,9.5,1,0,0,1,0,1
1,25.37199113130925,0,0,7.55,1,0,0,1,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
1,28.0,0,0,8.05,1,0,1,1,0,1
2,19.0,0,0,13.0,4,0,0,1,1,0
1,21.0,0,0,7.775,1,0,0,1,0,1
1,36.5,1,0,17.4,1,1,0,0,0,1
1,21.0,0,0,7.8542,1,0,0,1,0,1
2,29.0,0,2,23.0,5,2,1,0,1,0
1,1.0,1,1,12.1833,4,2,1,0,1,0
2,30.0,0,0,12.7375,1,0,0,1,0,1
1,25.384332805096108,0,0,7.8958,1,0,0,1,0,1
3,37.503084506004654,0,0,0.0,1,0,0,1,0,1
1,25.37199113130925,0,0,7.55,1,0,0,1,0,1
1,24.04541199375523,0,0,8.05,4,0,1,1,1,0
1,17.0,0,0,8.6625,1,0,1,1,0,1
3,46.0,0,0,75.2417,1,0,0,1,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
3,26.0,1,0,136.7792,5,1,0,0,1,0
1,23.760882277180745,1,0,15.5,4,1,1,0,1,0
1,25.360391813840398,0,0,7.225,1,0,0,1,0,1
2,20.0,1,0,26.0,4,1,1,0,1,0
2,28.0,0,0,10.5,1,0,0,1,0,1
2,40.0,1,0,26.0,1,1,0,0,0,1
2,30.0,1,0,21.0,1,1,0,0,0,1
2,22.0,0,0,10.5,1,0,0,1,0,1
1,23.0,0,0,8.6625,4,0,0,1,1,0
1,0.75,1,1,13.775,3,2,0,0,0,1
1,23.628621952473598,0,0,7.75,4,0,0,1,1,0
1,9.0,1,1,15.2458,4,2,0,0,1,0
1,2.0,1,1,20.2125,4,2,1,0,1,0
1,36.0,0,0,7.25,1,0,0,1,0,1
1,25.36128406903031,0,0,7.25,1,0,0,1,0,1
3,24.0,1,0,82.2667,1,1,0,0,0,1
1,25.360541712712305,0,0,7.2292,1,0,0,1,0,1
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
3,38.9164167268248,0,0,39.6,1,0,0,1,0,1
1,30.0,0,0,6.95,4,0,1,1,1,0
1,25.766624691714995,0,0,7.2292,1,0,1,1,0,1
3,53.0,1,1,81.8583,2,2,0,0,0,1
1,36.0,0,0,9.5,1,0,0,1,0,1
1,26.0,0,0,7.8958,1,0,0,1,0,1
2,1.0,1,2,41.5792,4,3,0,0,1,0
1,24.260986270848072,2,0,21.6792,1,2,1,0,0,1
3,30.0,0,0,45.5,1,0,1,1,0,1
1,29.0,0,0,7.8542,1,0,1,1,0,1
1,32.0,0,0,7.775,1,0,0,1,0,1
2,31.83979501043523,0,0,15.0458,1,0,0,1,0,1
2,43.0,0,1,21.0,1,1,0,0,0,1
1,24.0,0,0,8.6625,1,0,1,1,0,1
1,23.628621952473598,0,0,7.75,4,0,0,1,1,0
3,64.0,1,1,26.55,5,2,1,0,1,0
3,30.0,1,2,151.55,1,3,0,0,0,1
1,0.83,0,1,9.35,3,1,1,0,0,1
3,55.0,1,1,93.5,1,2,0,0,0,1
1,45.0,1,0,14.1083,5,1,1,0,1,0
1,18.0,0,0,8.6625,1,0,1,1,0,1
1,22.0,0,0,7.225,1,0,1,1,0,1
1,25.37288338649916,0,0,7.575,1,0,0,1,0,1
1,37.0,0,0,7.75,4,0,0,1,1,0
3,55.0,0,0,135.6333,5,0,0,1,1,0
1,17.0,0,0,7.7333,4,0,0,1,1,0
3,57.0,1,0,146.5208,1,1,0,0,0,1
2,19.0,0,0,10.5,1,0,0,1,0,1
1,27.0,0,0,7.8542,1,0,1,1,0,1
2,22.0,2,0,31.5,1,2,1,0,0,1
1,26.0,0,0,7.775,1,0,0,1,0,1
1,25.0,0,0,7.2292,1,0,0,1,0,1
2,26.0,0,0,13.0,1,0,0,1,0,1
3,33.0,0,0,26.55,1,0,0,1,0,1
3,39.0,0,0,211.3375,4,0,0,1,1,0
1,23.0,0,0,7.05,1,0,1,1,0,1
2,12.0,2,1,39.0,4,3,0,0,1,0
3,46.0,0,0,79.2,1,0,1,1,0,1
2,29.0,1,0,26.0,1,1,0,0,0,1
2,21.0,0,0,13.0,1,0,1,1,0,1
2,48.0,0,2,36.75,5,2,0,0,1,0
3,39.0,0,0,29.7,1,0,1,1,0,1
1,25.76647479284309,0,0,7.225,1,0,1,1,0,1
1,19.0,1,1,15.7417,5,2,0,0,1,0
1,27.0,0,0,7.8958,1,0,0,1,0,1
3,30.0,0,0,26.0,1,0,0,1,0,1
2,32.0,0,0,13.0,1,0,1,1,0,1
1,39.0,0,2,7.2292,1,2,1,0,0,1
2,25.0,0,0,31.5,1,0,0,1,0,1
1,23.50304051101592,0,0,7.2292,3,0,1,1,0,1
2,18.0,0,0,10.5,1,0,1,1,0,1
1,32.0,0,0,7.5792,1,0,1,1,0,1
1,17.786131073242775,1,9,69.55,1,10,0,0,0,1
3,58.0,0,1,512.3292,5,1,0,0,1,0
1,21.778450889584196,1,1,14.5,3,2,0,0,0,1
1,16.0,0,0,7.65,4,0,1,1,1,0
2,26.0,0,0,13.0,1,0,0,1,0,1
1,38.0,0,0,7.2292,5,0,0,1,1,0
2,24.0,0,0,13.5,1,0,0,1,0,1
2,31.0,0,0,21.0,4,0,0,1,1,0
3,45.0,0,1,63.3583,5,1,0,0,1,0
2,25.0,0,0,10.5,1,0,1,1,0,1
2,18.0,0,0,73.5,1,0,0,1,0,1
2,49.0,1,2,65.0,1,3,0,0,0,1
1,0.17,1,2,20.575,4,3,0,0,1,0
3,50.0,0,0,26.0,1,0,0,1,0,1
3,59.0,2,0,51.4792,5,2,1,0,1,0
1,25.383740347650008,0,0,7.8792,1,0,0,1,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
1,30.0,1,0,15.55,5,1,0,0,1,0
1,14.5,8,2,69.55,3,10,0,0,0,1
2,24.0,1,1,37.0042,5,2,0,0,1,0
2,31.0,0,0,21.0,5,0,0,1,1,0
1,27.0,0,0,8.6625,1,0,0,1,0,1
3,25.0,1,0,55.4417,5,1,0,0,1,0
1,14.903831762538289,1,9,69.55,5,10,0,0,1,0
1,25.47421100828245,1,0,14.4583,1,1,1,0,0,1
1,22.0,0,0,39.6875,4,0,0,1,1,0
3,45.0,0,1,59.4,5,1,0,0,1,0
2,29.0,0,0,13.8583,1,0,1,1,0,1
2,21.0,1,0,11.5,1,1,1,0,0,1
3,31.0,0,0,134.5,4,0,0,1,1,0
3,49.0,0,0,0.0,1,0,0,1,0,1
2,44.0,0,0,13.0,1,0,0,1,0,1
3,54.0,1,1,81.8583,5,2,0,0,1,0
3,45.0,0,0,262.375,4,0,0,1,1,0
1,22.0,2,0,8.6625,4,2,0,0,1,0
2,21.0,0,0,11.5,1,0,1,1,0,1
3,55.0,0,0,50.0,1,0,0,1,0,1
1,5.0,4,2,31.3875,3,6,0,0,0,1
1,25.379129172828545,0,0,7.75,1,0,0,1,0,1
1,26.0,0,0,7.8792,1,0,0,1,0,1
1,22.73773876340022,0,0,14.5,5,0,0,1,1,0
1,19.0,1,0,16.1,5,1,0,0,1,0
2,31.762318707784814,0,0,12.875,1,0,0,1,0,1
2,24.0,1,2,65.0,4,3,0,0,1,0
1,24.0,0,0,7.775,1,0,0,1,0,1
2,57.0,0,0,13.0,1,0,0,1,0,1
1,21.0,0,0,7.75,1,0,0,1,0,1
1,6.0,3,1,21.075,3,4,0,0,0,1
3,23.0,0,0,93.5,1,0,1,1,0,1
3,51.0,0,1,39.4,5,1,0,0,1,0
1,13.0,0,2,20.25,3,2,0,0,0,1
2,47.0,0,0,10.5,1,0,1,1,0,1
1,29.0,3,1,22.025,1,4,1,0,0,1
3,18.0,1,0,60.0,5,1,0,0,1,0
1,24.0,0,0,7.25,1,0,0,1,0,1
3,48.0,1,1,79.2,5,2,0,0,1,0
1,22.0,0,0,7.775,1,0,0,1,0,1
1,31.0,0,0,7.7333,1,0,0,1,0,1
3,30.0,0,0,164.8667,4,0,0,1,1,0
2,38.0,1,0,21.0,1,1,0,0,0,1
3,22.0,0,1,59.4,4,1,0,0,1,0
3,17.0,0,0,47.1,1,0,0,1,0,1
3,43.0,1,0,27.7208,1,1,0,0,0,1
2,20.0,0,0,13.8625,1,0,0,1,0,1
2,23.0,1,0,10.5,1,1,0,0,0,1
3,50.0,1,1,211.5,1,2,0,0,0,1
1,23.62757979841178,0,0,7.7208,4,0,0,1,1,0
1,3.0,1,1,13.775,4,2,0,0,1,0
1,23.628621952473598,0,0,7.75,4,0,0,1,1,0
3,37.0,1,0,90.0,5,1,0,0,1,0
1,28.0,0,0,7.775,4,0,1,1,1,0
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
3,39.0,0,0,108.9,0,0,0,1,1,0
1,38.5,0,0,7.25,1,0,0,1,0,1
1,25.389836235107484,0,0,8.05,1,0,0,1,0,1
1,22.05891524793952,1,1,22.3583,3,2,0,0,0,1
